"","team","season","tot_injured_value_lost"
"361","DAL",2016,3.79767364705882
"362","NE",2012,3.747148
"363","BUF",2022,3.66970181376518
"364","DET",2016,3.53595123529412
"365","KC",2021,3.51146496176471
"366","ARI",2018,3.4972496625
"367","LA",2017,3.48560447058824
"368","HOU",2020,3.46102117045455
"369","KC",2017,3.43107123529412
"370","JAX",2014,3.419296
"371","CLE",2013,3.404442
"372","LA",2016,3.404138125
"373","NE",2014,3.346299
"374","LA",2020,3.30343645555556
"375","LAC",2022,3.29983016666667
"376","SEA",2023,3.23075860294118
"377","ARI",2020,3.200166875
"378","BUF",2017,3.16796680952381
"379","JAX",2022,3.142256
"380","CAR",2015,3.119417
"381","TB",2014,3.040476
"382","DEN",2018,3.009673125
"383","PHI",2023,3.00555733333333
"384","GB",2018,2.91990701136364
"385","CAR",2021,2.90605935539216
"386","BUF",2021,2.893087
"387","DET",2020,2.8692644375
"388","MIN",2022,2.86040844444444
"389","MIA",2012,2.85814
"390","NYJ",2022,2.83797594117647
"391","MIN",2015,2.833364
"392","SF",2022,2.8275358
"393","CAR",2016,2.8134104375
"394","CLE",2003,2.810797
"395","PIT",2018,2.7705105
"396","DET",2017,2.76380725
"397","BUF",2019,2.661783
"398","DET",2014,2.644324
"399","NYJ",2015,2.616932
"400","MIN",2018,2.601562
"401","SEA",2017,2.58469876704545
"402","NYJ",2013,2.494885
"403","LA",2011,2.485527
"404","CIN",2010,2.474807
"405","NYG",2006,2.423313
"406","SEA",2018,2.41591502941176
"407","TB",2012,2.395612
"408","ATL",2017,2.3808965
"409","NE",2013,2.348235
"410","GB",2019,2.30898544444444
"411","KC",2013,2.276955
"412","LA",2018,2.24425957894737
"413","DEN",2017,2.2066135625
"414","NYG",2012,2.096498
"415","HOU",2016,2.06227638888889
"416","BAL",2002,2.022337
"417","BUF",2018,1.9938765
"418","CAR",2007,1.937322
"419","MIA",2011,1.888033
"420","PIT",2017,1.86119852941176
"421","DEN",2014,1.798352
"422","LA",2019,1.77900572916667
"423","GB",2012,1.747139
"424","DET",2003,1.727974
"425","IND",2014,1.641857
"426","DAL",2011,1.577189
"427","PHI",2016,1.5191396875
"428","GB",2016,1.49759268421053
"429","CLE",2011,1.453367
"430","WAS",2011,1.438515
"431","LA",2009,1.371633
"432","JAX",2011,1.34085
"433","MIN",2014,1.327408
"434","LV",2011,1.318214
"435","SF",2012,1.315042
"436","TEN",2012,1.271809
"437","NE",2005,1.264963
"438","IND",2010,1.260648
"439","IND",2011,1.260648
"440","CIN",2014,1.198008
"441","BAL",2009,1.18669
"442","KC",2014,1.182057
"443","BUF",2013,1.179408
"444","DAL",2019,1.16474275
"445","ATL",2003,1.16134
"446","MIA",2015,1.1402
"447","SEA",2012,1.135194
"448","SF",2013,1.115188
"449","GB",2014,1.098604
"450","MIN",2019,1.09461933333333
"451","CLE",2006,1.082946
"452","PIT",2007,1.064167
"453","SF",2011,0.996831
"454","HOU",2012,0.961255
"455","CAR",2011,0.940048
"456","DAL",2017,0.874274
"457","NYG",2010,0.801837
"458","BAL",2019,0.697026235294118
"459","TEN",2016,0.6744060625
"460","ATL",2020,0.248795625
"461","LAC",2006,0.238672
"462","DEN",2010,0.183556
"463","ARI",1997,0
"464","ARI",1998,0
"465","ARI",1999,0
"466","ARI",2000,0
"467","ARI",2001,0
"468","ARI",2002,0
"469","ARI",2003,0
"470","ARI",2004,0
"471","ARI",2006,0
"472","ARI",2008,0
"473","ARI",2009,0
"474","ARI",2010,0
"475","ARI",2011,0
"476","ARI",2013,0
"477","ARI",2015,0
"478","ATL",1998,0
"479","ATL",1999,0
"480","ATL",2000,0
"481","ATL",2001,0
"482","ATL",2002,0
"483","ATL",2004,0
"484","ATL",2005,0
"485","ATL",2006,0
"486","ATL",2007,0
"487","ATL",2008,0
"488","ATL",2009,0
"489","ATL",2010,0
"490","ATL",2011,0
"491","BAL",1996,0
"492","BAL",1997,0
"493","BAL",1998,0
"494","BAL",1999,0
"495","BAL",2000,0
"496","BAL",2001,0
"497","BAL",2003,0
"498","BAL",2004,0
"499","BAL",2005,0
"500","BAL",2006,0
"501","BAL",2010,0
"502","BAL",2011,0
"503","BUF",1998,0
"504","BUF",1999,0
"505","BUF",2000,0
"506","BUF",2001,0
"507","BUF",2002,0
"508","BUF",2003,0
"509","BUF",2004,0
"510","BUF",2005,0
"511","BUF",2006,0
"512","BUF",2007,0
"513","BUF",2008,0
"514","BUF",2010,0
"515","CAR",2000,0
"516","CAR",2001,0
"517","CAR",2002,0
"518","CAR",2003,0
"519","CAR",2004,0
"520","CAR",2005,0
"521","CAR",2006,0
"522","CAR",2008,0
"523","CAR",2009,0
"524","CAR",2013,0
"525","CAR",2014,0
"526","CHI",2000,0
"527","CHI",2001,0
"528","CHI",2002,0
"529","CHI",2003,0
"530","CHI",2004,0
"531","CHI",2005,0
"532","CHI",2006,0
"533","CHI",2008,0
"534","CHI",2010,0
"535","CIN",2001,0
"536","CIN",2002,0
"537","CIN",2003,0
"538","CIN",2004,0
"539","CIN",2005,0
"540","CIN",2006,0
"541","CIN",2007,0
"542","CIN",2009,0
"543","CLE",1999,0
"544","CLE",2000,0
"545","CLE",2001,0
"546","CLE",2002,0
"547","CLE",2005,0
"548","CLE",2007,0
"549","CLE",2009,0
"550","CLE",2010,0
"551","CLE",2012,0
"552","DAL",1995,0
"553","DAL",1996,0
"554","DAL",1997,0
"555","DAL",1998,0
"556","DAL",1999,0
"557","DAL",2000,0
"558","DAL",2001,0
"559","DAL",2002,0
"560","DAL",2003,0
"561","DAL",2004,0
"562","DAL",2005,0
"563","DAL",2006,0
"564","DAL",2007,0
"565","DAL",2008,0
"566","DAL",2009,0
"567","DAL",2013,0
"568","DEN",1993,0
"569","DEN",1994,0
"570","DEN",1995,0
"571","DEN",1996,0
"572","DEN",1997,0
"573","DEN",1998,0
"574","DEN",1999,0
"575","DEN",2000,0
"576","DEN",2001,0
"577","DEN",2003,0
"578","DEN",2004,0
"579","DEN",2005,0
"580","DEN",2006,0
"581","DEN",2009,0
"582","DEN",2013,0
"583","DEN",2015,0
"584","DET",1995,0
"585","DET",1996,0
"586","DET",1997,0
"587","DET",1998,0
"588","DET",1999,0
"589","DET",2000,0
"590","DET",2001,0
"591","DET",2002,0
"592","DET",2004,0
"593","DET",2005,0
"594","DET",2006,0
"595","DET",2007,0
"596","DET",2008,0
"597","DET",2011,0
"598","GB",1994,0
"599","GB",1995,0
"600","GB",1996,0
"601","GB",1997,0
"602","GB",1998,0
"603","GB",1999,0
"604","GB",2000,0
"605","GB",2001,0
"606","GB",2002,0
"607","GB",2003,0
"608","GB",2004,0
"609","GB",2007,0
"610","GB",2008,0
"611","GB",2009,0
"612","GB",2011,0
"613","GB",2015,0
"614","HOU",2002,0
"615","HOU",2003,0
"616","HOU",2004,0
"617","HOU",2005,0
"618","HOU",2006,0
"619","HOU",2008,0
"620","HOU",2010,0
"621","IND",1994,0
"622","IND",1995,0
"623","IND",1996,0
"624","IND",1997,0
"625","IND",1998,0
"626","IND",1999,0
"627","IND",2000,0
"628","IND",2001,0
"629","IND",2002,0
"630","IND",2003,0
"631","IND",2004,0
"632","IND",2005,0
"633","IND",2007,0
"634","IND",2008,0
"635","IND",2009,0
"636","JAX",1995,0
"637","JAX",1996,0
"638","JAX",1997,0
"639","JAX",1998,0
"640","JAX",1999,0
"641","JAX",2000,0
"642","JAX",2001,0
"643","JAX",2002,0
"644","JAX",2003,0
"645","JAX",2004,0
"646","JAX",2005,0
"647","JAX",2006,0
"648","JAX",2007,0
"649","JAX",2008,0
"650","JAX",2009,0
"651","JAX",2010,0
"652","KC",1997,0
"653","KC",1998,0
"654","KC",1999,0
"655","KC",2000,0
"656","KC",2001,0
"657","KC",2002,0
"658","KC",2003,0
"659","KC",2006,0
"660","KC",2008,0
"661","KC",2009,0
"662","KC",2010,0
"663","LA",1997,0
"664","LA",1998,0
"665","LA",1999,0
"666","LA",2000,0
"667","LA",2001,0
"668","LA",2003,0
"669","LA",2004,0
"670","LA",2005,0
"671","LA",2006,0
"672","LA",2007,0
"673","LA",2008,0
"674","LA",2010,0
"675","LA",2012,0
"676","LA",2015,0
"677","LAC",1994,0
"678","LAC",1995,0
"679","LAC",1996,0
"680","LAC",1997,0
"681","LAC",1998,0
"682","LAC",1999,0
"683","LAC",2000,0
"684","LAC",2001,0
"685","LAC",2002,0
"686","LAC",2003,0
"687","LAC",2004,0
"688","LAC",2005,0
"689","LAC",2007,0
"690","LAC",2008,0
"691","LAC",2009,0
"692","LAC",2011,0
"693","LV",1998,0
"694","LV",1999,0
"695","LV",2000,0
"696","LV",2001,0
"697","LV",2002,0
"698","LV",2003,0
"699","LV",2004,0
"700","LV",2006,0
"701","LV",2007,0
"702","LV",2009,0
"703","LV",2010,0
"704","LV",2012,0
"705","LV",2015,0
"706","MIA",1996,0
"707","MIA",1997,0
"708","MIA",1998,0
"709","MIA",1999,0
"710","MIA",2000,0
"711","MIA",2001,0
"712","MIA",2002,0
"713","MIA",2003,0
"714","MIA",2004,0
"715","MIA",2005,0
"716","MIA",2008,0
"717","MIN",1995,0
"718","MIN",1996,0
"719","MIN",1997,0
"720","MIN",1998,0
"721","MIN",1999,0
"722","MIN",2000,0
"723","MIN",2001,0
"724","MIN",2002,0
"725","MIN",2003,0
"726","MIN",2004,0
"727","MIN",2005,0
"728","MIN",2006,0
"729","MIN",2007,0
"730","MIN",2008,0
"731","MIN",2009,0
"732","MIN",2010,0
"733","NE",1995,0
"734","NE",1996,0
"735","NE",1997,0
"736","NE",1998,0
"737","NE",1999,0
"738","NE",2000,0
"739","NE",2001,0
"740","NE",2003,0
"741","NE",2006,0
"742","NE",2007,0
"743","NE",2009,0
"744","NO",2004,0
"745","NO",2005,0
"746","NO",2006,0
"747","NO",2007,0
"748","NO",2009,0
"749","NYG",1995,0
"750","NYG",1996,0
"751","NYG",1997,0
"752","NYG",1998,0
"753","NYG",1999,0
"754","NYG",2000,0
"755","NYG",2001,0
"756","NYG",2002,0
"757","NYG",2003,0
"758","NYG",2004,0
"759","NYG",2005,0
"760","NYG",2007,0
"761","NYG",2008,0
"762","NYG",2009,0
"763","NYG",2011,0
"764","NYJ",1998,0
"765","NYJ",1999,0
"766","NYJ",2000,0
"767","NYJ",2001,0
"768","NYJ",2002,0
"769","NYJ",2003,0
"770","NYJ",2004,0
"771","NYJ",2006,0
"772","NYJ",2007,0
"773","NYJ",2008,0
"774","NYJ",2009,0
"775","NYJ",2010,0
"776","NYJ",2011,0
"777","PHI",1996,0
"778","PHI",1997,0
"779","PHI",1998,0
"780","PHI",1999,0
"781","PHI",2000,0
"782","PHI",2001,0
"783","PHI",2002,0
"784","PHI",2003,0
"785","PHI",2004,0
"786","PHI",2007,0
"787","PHI",2008,0
"788","PHI",2009,0
"789","PHI",2010,0
"790","PHI",2011,0
"791","PHI",2013,0
"792","PHI",2014,0
"793","PIT",1995,0
"794","PIT",1996,0
"795","PIT",1997,0
"796","PIT",1998,0
"797","PIT",1999,0
"798","PIT",2000,0
"799","PIT",2001,0
"800","PIT",2002,0
"801","PIT",2003,0
"802","PIT",2004,0
"803","PIT",2005,0
"804","PIT",2006,0
"805","PIT",2009,0
"806","SEA",1994,0
"807","SEA",1995,0
"808","SEA",1996,0
"809","SEA",1997,0
"810","SEA",1998,0
"811","SEA",1999,0
"812","SEA",2000,0
"813","SEA",2001,0
"814","SEA",2002,0
"815","SEA",2003,0
"816","SEA",2004,0
"817","SEA",2005,0
"818","SEA",2006,0
"819","SEA",2007,0
"820","SEA",2009,0
"821","SEA",2010,0
"822","SF",1994,0
"823","SF",1996,0
"824","SF",1997,0
"825","SF",1998,0
"826","SF",1999,0
"827","SF",2000,0
"828","SF",2001,0
"829","SF",2002,0
"830","SF",2003,0
"831","SF",2004,0
"832","SF",2005,0
"833","SF",2006,0
"834","SF",2007,0
"835","SF",2009,0
"836","TB",1995,0
"837","TB",1996,0
"838","TB",1997,0
"839","TB",1998,0
"840","TB",1999,0
"841","TB",2000,0
"842","TB",2001,0
"843","TB",2002,0
"844","TB",2003,0
"845","TB",2004,0
"846","TB",2005,0
"847","TB",2006,0
"848","TB",2007,0
"849","TB",2008,0
"850","TB",2009,0
"851","TB",2011,0
"852","TEN",1995,0
"853","TEN",1996,0
"854","TEN",1997,0
"855","TEN",1998,0
"856","TEN",1999,0
"857","TEN",2000,0
"858","TEN",2001,0
"859","TEN",2002,0
"860","TEN",2003,0
"861","TEN",2004,0
"862","TEN",2005,0
"863","TEN",2006,0
"864","TEN",2007,0
"865","TEN",2008,0
"866","TEN",2009,0
"867","WAS",1999,0
"868","WAS",2000,0
"869","WAS",2001,0
"870","WAS",2002,0
"871","WAS",2003,0
"872","WAS",2005,0
"873","WAS",2008,0
